"Bldg. #","Building Name","Room #","Area","Room Use","Organization Name"
"360","XFINITY CENTER","2705","140.3","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3106","192.12","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3108","273.36","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3202","226.6","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3208","274.02","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3210","192.17","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3306","192.23","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3308","273.84","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3314","226.6","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3406","274.05","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","3408","192.1","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
